id1	id2	weight
185	60	1
189	59	1
189	188	1
59	188	1
88	87	1
88	5	1
87	5	1
134	6	1
160	77	1
160	99	1
139	41	1
7	137	3
2	107	2
66	14	1
171	16	1
147	107	1
167	7	1
167	137	1
164	22	2
191	157	1
183	182	2
183	113	1
182	113	1
195	187	1
194	55	1
153	67	1
153	110	1
67	110	1
78	3	1
78	84	1
3	84	1
7	9	2
4	68	2
89	65	1
89	11	1
89	5	1
89	1	2
65	11	1
65	5	1
65	1	1
11	5	1
11	1	1
5	1	3
132	171	2
100	140	1
100	94	1
140	94	1
34	133	1
96	99	1
83	183	2
82	1	2
146	150	1
96	37	1
16	34	1
144	43	1
78	56	1
64	13	1
64	7	1
13	7	1
34	1	1
155	3	1
49	16	1
57	18	1
57	162	1
18	162	1
13	21	1
8	72	6
8	75	4
8	36	4
75	36	4
72	36	4
135	8	5
135	72	5
135	75	4
8	18	1
8	10	1
18	10	1
104	110	1
105	108	2
129	158	1
129	128	1
158	128	2
58	30	1
70	126	1
15	108	3
15	138	3
15	30	5
15	92	1
108	138	2
108	30	4
108	92	1
138	30	3
138	92	1
30	92	1
15	27	3
108	27	2
30	27	3
15	114	1
189	138	1
15	200	1
30	200	1
32	3	1
197	77	1
197	40	1
77	40	1
138	27	2
17	8	1
17	28	1
8	28	1
18	152	1
105	30	1
31	63	2
116	73	1
135	36	3
72	75	3
29	34	1
33	71	1
67	44	1
139	7	1
139	150	1
7	150	1
53	127	1
53	130	1
127	130	1
148	84	1
192	11	1
57	192	1
71	43	1
168	136	1
2	63	1
104	150	1
20	34	1
20	122	1
34	122	1
17	46	3
17	50	1
46	50	1
124	73	2
6	179	1
96	12	1
83	182	2
96	88	1
134	171	1
134	1	2
171	1	1
86	34	1
39	3	2
53	162	1
53	3	1
162	3	1
145	49	1
167	69	1
174	9	1
10	54	1
142	180	1
142	40	1
142	42	2
180	40	1
180	42	1
40	42	1
134	119	1
134	13	1
134	89	1
134	60	1
134	73	1
119	13	1
119	89	1
119	60	1
119	73	1
119	1	1
13	89	1
13	60	1
13	73	1
13	1	2
89	60	1
89	73	1
60	73	1
60	1	1
73	1	1
2	147	1
123	3	1
29	53	1
29	123	1
29	62	1
123	62	1
174	62	1
102	192	1
9	180	1
68	1	1
160	166	1
6	166	1
49	199	1
49	187	1
199	187	1
36	120	1
194	54	1
18	112	1
97	162	1
97	103	1
162	103	1
182	151	2
28	125	1
28	170	1
125	170	1
12	32	1
139	57	1
139	105	1
57	105	1
101	186	1
6	161	1
55	180	1
184	74	1
184	178	1
184	98	1
184	181	1
74	178	2
74	98	1
74	181	1
178	98	1
178	181	1
98	181	1
113	35	1
18	27	1
8	58	1
57	23	1
7	42	1
7	200	1
9	42	1
9	200	1
42	200	1
29	37	1
129	200	1
160	157	1
86	200	1
74	10	1
47	186	1
13	142	1
13	5	1
13	42	1
142	5	1
142	1	1
5	42	1
1	42	1
83	151	1
80	63	1
97	14	1
121	199	1
5	157	1
189	50	1
86	143	1
35	158	1
66	89	1
107	51	1
6	128	1
18	92	1
190	87	1
149	188	1
76	49	1
68	13	1
68	26	2
13	26	1
25	24	1
4	12	1
65	116	1
65	193	1
65	172	1
116	193	2
116	172	1
193	172	1
48	127	1
48	103	1
48	84	1
127	103	1
127	84	1
103	84	1
24	136	2
124	152	1
124	120	1
124	114	1
152	120	1
152	114	1
120	114	1
174	48	1
55	158	1
55	128	1
39	32	1
141	27	1
44	103	1
168	85	1
17	125	2
125	46	1
55	99	1
86	22	1
92	50	1
20	60	1
102	11	1
190	107	1
190	93	1
107	93	1
4	178	1
4	33	1
80	35	1
17	27	1
17	59	1
17	103	1
125	27	1
125	59	1
125	103	1
27	59	1
27	103	1
59	103	1
104	44	1
104	133	2
44	133	1
79	5	1
4	1	1
93	144	1
166	69	1
166	1	1
166	175	1
69	1	1
69	175	1
1	175	1
24	188	1
188	136	1
4	132	1
4	34	1
132	34	1
4	70	1
4	101	1
4	11	1
4	176	1
70	68	1
70	101	1
70	11	1
70	176	1
68	101	1
68	11	1
68	176	1
101	11	1
101	176	1
11	176	1
91	159	1
6	69	1
20	110	1
131	65	1
185	155	1
62	14	1
177	178	1
32	44	1
56	157	1
76	61	1
2	98	1
83	34	1
146	41	1
9	98	1
60	150	1
18	122	1
4	65	1
12	47	1
146	116	1
146	193	1
