id1	id2	weight
73	2	42
97	112	29
97	155	27
3	181	26
155	112	26
332	2	22
1501	2099	22
354	112	22
97	354	21
10	31	21
195	382	20
629	97	20
4	183	19
3	577	19
207	280	19
10	23	19
4	254	19
629	354	18
10	310	18
155	354	17
195	90	16
44	207	16
389	4	16
311	1508	16
234	56	16
321	293	16
349	1171	15
20	131	15
6	287	15
823	1764	15
629	112	15
23	31	14
629	155	14
1421	182	14
22	329	14
61	308	14
50	26	13
510	45	13
1108	16	13
1317	422	13
9	89	13
557	195	13
155	1863	13
451	30	13
326	1137	13
367	20	13
576	27	12
310	23	12
1718	2099	12
244	34	12
1718	1501	12
1656	1697	12
294	31	12
957	31	12
1131	982	12
55	9	12
1172	366	12
884	167	12
781	2127	12
1189	181	12
16	1338	12
67	340	12
513	112	11
644	207	11
878	45	11
1189	3	11
251	246	11
155	513	11
484	142	11
259	908	11
97	513	11
1099	2	11
310	31	11
97	1863	11
72	5	11
285	22	11
1580	1894	10
155	1403	10
1213	181	10
782	16	10
98	27	10
3282	3263	10
36	32	10
304	2099	10
304	1501	10
2433	2099	10
1580	957	10
2433	1501	10
949	714	10
226	134	10
1213	3	10
247	3	10
310	540	10
5	6	10
241	490	10
367	131	10
156	7	10
49	41	10
1108	1338	10
33	176	10
31	540	10
10	540	10
4	27	10
285	329	10
1208	3	10
32	6	10
629	513	10
217	19	10
1052	126	10
878	510	10
785	76	10
644	280	10
966	721	10
95	589	9
1343	93	9
112	1863	9
3	1358	9
97	326	9
354	513	9
655	257	9
441	31	9
311	233	9
459	347	9
10	96	9
331	10	9
176	1440	9
389	183	9
310	565	9
10	170	9
1338	2005	9
1354	175	9
403	132	9
44	280	9
331	504	9
228	17	9
704	185	9
703	183	9
484	907	9
106	1342	9
4	246	9
225	978	9
1141	2	9
957	2473	9
60	218	9
199	693	9
449	42	9
2267	1374	9
1580	2473	9
1794	3	9
2997	547	9
181	577	9
24	302	9
356	27	9
4	251	9
36	5	8
806	18	8
1108	2005	8
395	203	8
195	1440	8
97	10	8
76	628	8
1687	36	8
2193	167	8
109	1474	8
24	4191	8
2369	1740	8
940	399	8
531	53	8
155	616	8
114	51	8
537	62	8
1501	2803	8
2263	23	8
