id1	id2	weight
73	2	42
97	112	29
97	155	27
3	181	26
155	112	26
332	2	22
354	112	22
97	354	21
10	31	21
195	382	20
4	183	19
207	280	19
10	23	19
4	254	19
10	310	18
155	354	17
195	90	16
44	207	16
389	4	16
234	56	16
321	293	16
20	131	15
6	287	15
23	31	14
22	329	14
61	308	14
50	26	13
9	89	13
451	30	13
367	20	13
310	23	12
244	34	12
294	31	12
55	9	12
67	340	12
251	246	11
484	142	11
310	31	11
72	5	11
285	22	11
98	27	10
36	32	10
226	134	10
247	3	10
5	6	10
241	490	10
367	131	10
156	7	10
49	41	10
33	176	10
4	27	10
285	329	10
32	6	10
217	19	10
97	326	9
441	31	9
311	233	9
459	347	9
10	96	9
331	10	9
389	183	9
10	170	9
403	132	9
44	280	9
228	17	9
4	246	9
60	218	9
449	42	9
24	302	9
356	27	9
4	251	9
36	5	8
395	203	8
97	10	8
114	51	8
51	78	8
11	2	8
4	131	8
234	378	8
9	113	8
29	84	8
31	96	8
411	130	8
50	126	8
43	150	8
10	133	8
12	2	8
188	3	8
23	170	7
441	40	7
234	159	7
394	40	7
389	254	7
23	51	7
4	20	7
382	347	7
15	152	7
9	35	7
151	166	7
301	26	7
113	78	7
12	120	7
53	89	7
394	441	7
103	364	7
293	6	7
215	194	7
36	6	7
5	231	7
46	321	7
487	185	7
126	26	7
441	294	7
9	78	7
70	167	7
398	387	7
394	97	7
168	83	7
195	176	7
4	3	7
10	335	7
39	8	7
9	111	7
31	170	7
4	290	7
97	119	7
35	78	7
155	10	6
21	101	6
338	265	6
4	314	6
303	31	6
97	31	6
20	251	6
46	134	6
276	9	6
50	13	6
195	97	6
33	239	6
153	104	6
33	275	6
156	77	6
31	335	6
394	176	6
18	1	6
212	7	6
4	36	6
100	24	6
11	50	6
441	51	6
441	114	6
34	246	6
420	305	6
176	239	6
69	90	6
344	17	6
188	181	6
379	410	6
17	176	6
344	176	6
133	170	6
68	220	6
331	90	6
304	90	6
326	295	6
205	8	6
252	16	6
29	80	6
4	76	6
90	162	6
195	23	6
328	201	6
116	26	5
50	404	5
99	5	5
51	329	5
98	20	5
16	63	5
100	146	5
4	451	5
89	78	5
369	109	5
4	225	5
3	77	5
