chunk_id,doc_id,country,region,doc_type,pub_year,original_language,source_language_match,policy_topic_id
USA_National_AI_RD_Strategic_Plan_2023_chunk_0,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_1,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_4,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_5,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_6,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_7,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_8,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,9
USA_National_AI_RD_Strategic_Plan_2023_chunk_9,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,9
USA_National_AI_RD_Strategic_Plan_2023_chunk_10,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,9
USA_National_AI_RD_Strategic_Plan_2023_chunk_11,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_12,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,9
USA_National_AI_RD_Strategic_Plan_2023_chunk_13,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,9
USA_National_AI_RD_Strategic_Plan_2023_chunk_14,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_15,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,9
USA_National_AI_RD_Strategic_Plan_2023_chunk_16,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_17,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
USA_National_AI_RD_Strategic_Plan_2023_chunk_18,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,3
USA_National_AI_RD_Strategic_Plan_2023_chunk_19,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National Strategy,2023,en,True,-1
