chunk_id,doc_id,country,region,doc_name,doc_type,year,topic_id,topic_words
USA_National_AI_RD_Strategic_Plan_2023_chunk_0,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_1,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_2,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_3,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_4,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_5,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_6,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_7,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_8,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_9,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_10,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_11,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_12,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_13,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,2,"attack, iot, detection, security, cybersecurity, intrusion, threat, cyber, network, id"
USA_National_AI_RD_Strategic_Plan_2023_chunk_14,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_15,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_16,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_17,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_18,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
USA_National_AI_RD_Strategic_Plan_2023_chunk_19,USA_National_AI_RD_Strategic_Plan_2023,United States,North America,National AI R&D Strategic Plan 2023 Update,National Strategy,2023,-1,
